run,length,iter,process,time
pth,500,1000,9,6.95083
pth,600,1000,10,7.13176
pth,600,1000,11,6.96108
pth,600,1000,12,6.87859
pth,600,1000,14,7.60244
pth,600,1000,16,7.32364
pth,600,1000,1,6.95505
pth,600,1000,2,5.57025
pth,600,1000,3,6.39382
pth,600,1000,4,6.33424
pth,600,1000,5,6.7239
pth,600,1000,6,6.95496
pth,600,1000,7,6.69197
pth,600,1000,8,6.8334
pth,600,1000,9,6.90945
omp,1000,1000,10,12.0341
omp,1000,1000,11,13.7407
omp,1000,1000,12,13.3647
omp,1000,1000,14,12.884
omp,1000,1000,16,12.757
omp,1000,1000,1,18.726
omp,1000,1000,2,12.8694
omp,1000,1000,3,9.74399
omp,1000,1000,4,11.8626
omp,1000,1000,5,11.5532
omp,1000,1000,6,11.8564
omp,1000,1000,7,11.8008
omp,1000,1000,8,10.5859
omp,1000,1000,9,11.1308
omp,100,4961,10,11.3189
omp,100,4961,11,2.29262
omp,100,4961,12,7.35157
omp,100,4961,14,3.1614
omp,100,4961,16,5.46948
omp,100,4961,1,0.705413
omp,100,4961,2,1.1204
omp,100,4961,3,0.548354
omp,100,4961,4,5.20753
omp,100,4961,5,23.9678
omp,100,4961,6,1.08253
omp,100,4961,7,2.58596
omp,100,4961,8,2.03154
omp,100,4961,9,1.89255
omp,200,9890,10,12.7283
omp,200,9890,11,19.2572
omp,200,9890,12,17.1958
omp,200,9890,14,19.0061
omp,200,9890,16,23.875
omp,200,9890,1,6.299
omp,200,9890,2,7.64772
omp,200,9890,3,4.12567
omp,200,9890,4,16.4846
omp,200,9890,5,41.7534
omp,200,9890,6,8.86853
omp,200,9890,7,13.8168
omp,200,9890,8,10.3166
omp,200,9890,9,11.232
omp,300,1000,10,8.20602
omp,300,1000,11,2.83706
omp,300,1000,12,2.91874
omp,300,1000,14,5.68043
omp,300,1000,16,4.08989
omp,300,1000,1,1.57961
omp,300,1000,2,0.945155
omp,300,1000,3,1.1799
omp,300,1000,4,5.01189
omp,300,1000,5,6.42204
omp,300,1000,6,2.45433
omp,300,1000,7,3.52121
omp,300,1000,8,3.28076
omp,300,1000,9,2.97096
omp,400,1000,10,4.14902
omp,400,1000,11,8.27047
omp,400,1000,12,7.11486
omp,400,1000,14,5.3266
omp,400,1000,16,6.65616
omp,400,1000,1,2.64332
omp,400,1000,2,2.50107
omp,400,1000,3,1.93123
omp,400,1000,4,6.77119
omp,400,1000,5,7.31435
omp,400,1000,6,3.78661
omp,400,1000,7,7.20031
omp,400,1000,8,3.69081
omp,400,1000,9,4.02104
omp,500,1000,10,7.89082
omp,500,1000,11,8.2265
omp,500,1000,12,6.31684
omp,500,1000,14,6.62884
omp,500,1000,16,8.22114
omp,500,1000,1,4.2835
omp,500,1000,2,3.92679
omp,500,1000,3,2.59271
omp,500,1000,4,6.97277
omp,500,1000,5,7.55913
omp,500,1000,6,5.29774
omp,500,1000,7,4.48234
omp,500,1000,8,5.34765
omp,500,1000,9,7.12651
omp,50,1901,10,3.08366
omp,50,1901,11,2.00493
omp,50,1901,12,0.640638
omp,50,1901,14,0.97047
omp,50,1901,16,0.561308
omp,50,1901,1,0.096294
